onset	duration	trial_type
4	0	WhatOff_Picture
5	0	WhatOff_random_face_nun_pa
8	0	MotorResponse
12	0	WhatOff_Picture
13	0	WhatOff_omis
17	0	MotorResponse
21	0	WhatOff_Picture
22	0	WhatOff_random_face_nun_pa
26	0	MotorResponse
29	0	WhatOff_Picture
30	0	WhatOff_omis
34	0	MotorResponse
37	0	WhatOff_Picture
38	0	WhatOff_random_face_billgates_ga
41	0	MotorResponse
45	0	WhatOff_Picture
46	0	WhatOff_random_face_astronaut_pa
49	0	MotorResponse
53	0	WhatOff_Picture
54	0	WhatOff_random_face_billgates_ga
58	0	MotorResponse
62	0	WhatOff_Picture
63	0	WhatOff_random_face_nun_pa
67	0	MotorResponse
70	0	WhatOff_Picture
71	0	WhatOff_random_face_nun_ga
75	0	MotorResponse
79	0	WhatOff_Picture
80	0	WhatOff_random_face_astronaut_ga
83	0	MotorResponse
86	0	WhatOff_Picture
87	0	WhatOff_random_face_femaledr_pa
90	0	MotorResponse
94	0	WhatOff_Picture
95	0	WhatOff_random_face_lady_ga
99	0	MotorResponse
103	0	WhatOff_Picture
104	0	WhatOff_random_face_astronaut_pa
107	0	MotorResponse
111	0	WhatOff_Picture
112	0	WhatOff_random_face_fireman_pa
115	0	MotorResponse
118	0	WhatOff_Picture
119	0	WhatOff_random_face_astronaut_pa
122	0	MotorResponse
125	0	WhatOff_Picture
126	0	WhatOff_random_face_femaledr_ga
129	0	MotorResponse
